class_num, s, class, url
112, 6, fco, https://i.seadn.io/gcs/files/0a8fd7875e1337fba28122b783d43c48.png?auto=format&w=384
113, 6, fco, https://i.seadn.io/gcs/files/42d952b9e112fb43a9c784d41ee3a175.png?auto=format&w=384
114, 6, fco, https://i.seadn.io/gcs/files/c769fc37eb1830efa96ab50eea09557b.png?auto=format&w=1000
115, 6, fco, https://i.seadn.io/gcs/files/a9da29f6a9f5eb86d520a8a0766ffa5f.png?auto=format&w=384
116, 6, fco, https://i.seadn.io/gcs/files/bd6f7d8b79a03c8a798d40a31beb440f.png?auto=format&w=384
117, 6, fco, https://i.seadn.io/gcs/files/06d273e5e48894df08e17319a1d442eb.png?auto=format&w=384
118, 6, fco, https://i.seadn.io/gcs/files/d91eb78cd172ffde3b14d2a0dbd8288c.png?auto=format&w=384
119, 6, fco, https://i.seadn.io/gcs/files/44b6728d4714aed39a9debda160b706e.png?auto=format&w=1000
120, 6, fco, https://i.seadn.io/gcs/files/fca207edf3be41002d03dc91da30b75a.png?auto=format&w=384
101, 7, fco, https://i.seadn.io/gcs/files/878b679d3f433d26786cfd73c1491d1d.png?auto=format&w=384
102, 7, fco, https://i.seadn.io/gcs/files/dc29219aa8f92ee58b84bf259bf3b924.png?auto=format&w=384
103, 7, fco, https://i.seadn.io/gcs/files/4bc81cb1183aedf4f8973c6b8b7d54fb.png?auto=format&w=384
104, 7, fco, https://i.seadn.io/gcs/files/3c7330a0f3557cd8b3dc1df9778788c2.png?auto=format&w=384
105, 7, fco, https://i.seadn.io/gcs/files/635c64b0c638ab3d1443f19cbf2f01f2.png?auto=format&w=384
106, 7, fco, https://i.seadn.io/gcs/files/3d69d0ee8c00ccb3036c4b97d41de720.png?auto=format&w=384
107, 7, fco, https://i.seadn.io/gcs/files/8ad6e0f07b7f802d58dbaf7ab834d71f.png?auto=format&w=384
108, 7, fco, https://i.seadn.io/gcs/files/66666a44b1198c3e56fcb5f7bd1eed7e.png?auto=format&w=384
109, 7, fco, https://i.seadn.io/gcs/files/25bf7380bd1b8f4bab50fbcbb13563bd.png?auto=format&w=384
110, 7, fco, https://i.seadn.io/gcs/files/c836b34a114d0ada8ceadf55cb2fe5ef.png?auto=format&w=384
111, 7, fco, https://i.seadn.io/gcs/files/7f1a1b3b0c6c05aab06f008b64a774f1.png?auto=format&w=384
112, 7, fco, https://i.seadn.io/gcs/files/a70f1bb79873209006f937a1f8a37bd6.png?auto=format&w=384
113, 7, fco, https://i.seadn.io/gcs/files/0ec708b794bec46905e702a843cbc4b2.png?auto=format&w=384
114, 7, fco, https://i.seadn.io/gcs/files/16497c978e3c5ee1de378231c814366d.png?auto=format&w=384
115, 7, fco, https://i.seadn.io/gcs/files/ce2fb2cb0811b775b6e7b09b7d615481.png?auto=format&w=384
116, 7, fco, https://i.seadn.io/gcs/files/74425e3ecdb0f9e61932284d782849f3.png?auto=format&w=384
117, 7, fco, https://i.seadn.io/gcs/files/31134b10d1483b116c9bd93b2a4796a0.png?auto=format&w=384
118, 7, fco, https://i.seadn.io/gcs/files/464618e92ee9889def2ba8604fd9227c.png?auto=format&w=384
119, 7, fco, https://i.seadn.io/gcs/files/96e5477ea7aae221bc0b6109d8e15aec.png?auto=format&w=384
120, 7, fco, https://i.seadn.io/gcs/files/b5569409b69a8a354a9ec282904eddb4.png?auto=format&w=384
101, 8, fco, https://i.seadn.io/gcs/files/3084eb5593aca1d135f54f7839c4e84a.png?auto=format&w=384
102, 8, fco, https://i.seadn.io/gcs/files/c2aefb5a736cc06ec6d75a561aebc8c8.png?auto=format&w=384
103, 8, fco, https://i.seadn.io/gcs/files/d914c7ce306fdac2b642e582cc85ee48.png?auto=format&w=384
104, 8, fco, https://i.seadn.io/gcs/files/227ed7cd67ad87461fed9e6f9eb15ac3.png?auto=format&w=384
105, 8, fco, https://i.seadn.io/gcs/files/3f5184cc1790d68b3f3692d56d5f5cbe.png?auto=format&w=384
106, 8, fco, https://i.seadn.io/gcs/files/8647047c9cfa344701ad0a65cd378c2d.png?auto=format&w=384
107, 8, fco, https://i.seadn.io/gcs/files/3c3d2b7aed7d6d77e7e9c35405abb503.png?auto=format&w=384
108, 8, fco, https://i.seadn.io/gcs/files/83293b372dc540654beec1e5adc9e630.png?auto=format&w=384
109, 8, fco, https://i.seadn.io/gcs/files/0e4bc5c2d970fac50d17e756b189ad1b.png?auto=format&w=384
